episode,episode_length,epsilon,timestamp,total_reward
0,13,1.0,2026-01-14T19:56:08.197430,0.0
1,22,0.9999,2026-01-14T19:56:08.197430,0.0
2,18,0.9998000100000001,2026-01-14T19:56:08.198429,0.0
3,6,0.9997000299990001,2026-01-14T19:56:08.198429,0.0
4,19,0.9996000599960002,2026-01-14T19:56:08.198429,0.0
5,20,0.9995000999900007,2026-01-14T19:56:08.198429,0.0
6,31,0.9994001499800017,2026-01-14T19:56:08.199433,0.0
7,27,0.9993002099650037,2026-01-14T19:56:08.199433,0.0
8,64,0.9992002799440072,2026-01-14T19:56:08.200435,0.0
9,28,0.9991003599160128,2026-01-14T19:56:08.200435,0.0
10,93,0.9990004498800211,2026-01-14T19:56:08.202437,0.0
11,16,0.9989005498350332,2026-01-14T19:56:08.203433,0.0
12,20,0.9988006597800497,2026-01-14T19:56:08.203433,0.0
13,63,0.9987007797140718,2026-01-14T19:56:08.204433,0.0
14,78,0.9986009096361004,2026-01-14T19:56:08.205432,0.0
15,62,0.9985010495451367,2026-01-14T19:56:08.206432,0.0
16,38,0.9984011994401822,2026-01-14T19:56:08.206432,0.0
17,43,0.9983013593202382,2026-01-14T19:56:08.207432,0.0
18,31,0.9982015291843062,2026-01-14T19:56:08.207432,0.0
19,27,0.9981017090313877,2026-01-14T19:56:08.207432,0.0
20,28,0.9980018988604846,2026-01-14T19:56:08.208432,0.0
21,24,0.9979020986705985,2026-01-14T19:56:08.208432,0.0
22,76,0.9978023084607315,2026-01-14T19:56:08.209432,0.0
23,42,0.9977025282298854,2026-01-14T19:56:08.209432,0.0
24,19,0.9976027579770624,2026-01-14T19:56:08.210431,0.0
25,12,0.9975029977012647,2026-01-14T19:56:08.210431,0.0
26,26,0.9974032474014946,2026-01-14T19:56:08.210431,0.0
27,94,0.9973035070767544,2026-01-14T19:56:08.211433,0.0
28,48,0.9972037767260468,2026-01-14T19:56:08.212435,0.0
29,19,0.9971040563483742,2026-01-14T19:56:08.212435,0.0
30,72,0.9970043459427393,2026-01-14T19:56:08.213940,0.0
31,64,0.9969046455081451,2026-01-14T19:56:08.213940,0.0
32,14,0.9968049550435942,2026-01-14T19:56:08.214945,0.0
33,18,0.9967052745480899,2026-01-14T19:56:08.214945,0.0
34,48,0.9966056040206351,2026-01-14T19:56:08.214945,0.0
35,29,0.9965059434602331,2026-01-14T19:56:08.215944,0.0
36,25,0.9964062928658871,2026-01-14T19:56:08.215944,0.0
37,13,0.9963066522366005,2026-01-14T19:56:08.215944,0.0
38,17,0.9962070215713769,2026-01-14T19:56:08.215944,0.0
39,16,0.9961074008692198,2026-01-14T19:56:08.216944,0.0
40,33,0.9960077901291329,2026-01-14T19:56:08.216944,0.0
41,30,0.9959081893501199,2026-01-14T19:56:08.217944,0.0
42,69,0.995808598531185,2026-01-14T19:56:08.218944,0.0
43,28,0.9957090176713319,2026-01-14T19:56:08.218944,0.0
44,7,0.9956094467695648,2026-01-14T19:56:08.218944,0.0
45,98,0.9955098858248879,2026-01-14T19:56:08.219944,0.0
46,22,0.9954103348363054,2026-01-14T19:56:08.220943,0.0
47,13,0.9953107938028217,2026-01-14T19:56:08.220943,0.0
48,40,0.9952112627234414,2026-01-14T19:56:08.220943,0.0
49,50,0.9951117415971691,2026-01-14T19:56:08.221944,0.0
50,12,0.9950122304230093,2026-01-14T19:56:08.221944,0.0
51,15,0.9949127291999671,2026-01-14T19:56:08.222944,0.0
52,29,0.9948132379270471,2026-01-14T19:56:08.222944,0.0
53,17,0.9947137566032545,2026-01-14T19:56:08.222944,0.0
54,57,0.9946142852275941,2026-01-14T19:56:08.223944,0.0
55,6,0.9945148237990713,2026-01-14T19:56:08.223944,0.0
56,34,0.9944153723166914,2026-01-14T19:56:08.223944,0.0
57,31,0.9943159307794598,2026-01-14T19:56:08.224944,0.0
58,12,0.9942164991863819,2026-01-14T19:56:08.224944,0.0
59,17,0.9941170775364633,2026-01-14T19:56:08.224944,0.0
60,17,0.9940176658287097,2026-01-14T19:56:08.224944,0.0
61,25,0.9939182640621268,2026-01-14T19:56:08.225944,0.0
62,21,0.9938188722357206,2026-01-14T19:56:08.225944,0.0
63,18,0.993719490348497,2026-01-14T19:56:08.225944,0.0
64,37,0.9936201183994622,2026-01-14T19:56:08.225944,0.0
65,26,0.9935207563876223,2026-01-14T19:56:08.225944,0.0
66,100,0.9934214043119836,2026-01-14T19:56:08.227447,0.0
67,18,0.9933220621715524,2026-01-14T19:56:08.227447,0.0
68,11,0.9932227299653352,2026-01-14T19:56:08.228450,0.0
69,13,0.9931234076923388,2026-01-14T19:56:08.228450,0.0
70,9,0.9930240953515695,2026-01-14T19:56:08.228450,0.0
71,23,0.9929247929420344,2026-01-14T19:56:08.228450,0.0
72,67,0.9928255004627402,2026-01-14T19:56:08.229450,0.0
73,100,0.992726217912694,2026-01-14T19:56:08.230450,0.0
74,36,0.9926269452909028,2026-01-14T19:56:08.230450,0.0
75,59,0.9925276825963737,2026-01-14T19:56:08.231450,0.0
76,15,0.9924284298281141,2026-01-14T19:56:08.231450,0.0
77,14,0.9923291869851313,2026-01-14T19:56:08.231450,0.0
78,6,0.9922299540664328,2026-01-14T19:56:08.231450,0.0
79,34,0.9921307310710261,2026-01-14T19:56:08.232450,0.0
80,37,0.992031517997919,2026-01-14T19:56:08.233453,0.0
81,38,0.9919323148461192,2026-01-14T19:56:08.233453,0.0
82,87,0.9918331216146347,2026-01-14T19:56:08.234534,0.0
83,65,0.9917339383024733,2026-01-14T19:56:08.235563,0.0
84,22,0.991634764908643,2026-01-14T19:56:08.235563,0.0
85,11,0.9915356014321521,2026-01-14T19:56:08.236542,0.0
86,28,0.9914364478720089,2026-01-14T19:56:08.236542,0.0
87,29,0.9913373042272218,2026-01-14T19:56:08.236542,0.0
88,20,0.9912381704967991,2026-01-14T19:56:08.236542,0.0
89,13,0.9911390466797494,2026-01-14T19:56:08.237541,0.0
90,48,0.9910399327750814,2026-01-14T19:56:08.237541,0.0
91,24,0.9909408287818039,2026-01-14T19:56:08.237541,0.0
92,20,0.9908417346989258,2026-01-14T19:56:08.238542,0.0
93,63,0.9907426505254558,2026-01-14T19:56:08.238542,0.0
94,37,0.9906435762604033,2026-01-14T19:56:08.239538,0.0
95,26,0.9905445119027773,2026-01-14T19:56:08.239538,0.0
96,30,0.990445457451587,2026-01-14T19:56:08.239538,0.0
97,28,0.9903464129058418,2026-01-14T19:56:08.240535,0.0
98,12,0.9902473782645512,2026-01-14T19:56:08.240535,0.0
99,55,0.9901483535267248,2026-01-14T19:56:08.240535,0.0
100,13,0.9900493386913721,2026-01-14T19:56:08.240535,0.0
101,24,0.989950333757503,2026-01-14T19:56:08.241546,0.0
102,40,0.9898513387241272,2026-01-14T19:56:08.241546,0.0
103,9,0.9897523535902548,2026-01-14T19:56:08.242453,0.0
104,26,0.9896533783548958,2026-01-14T19:56:08.242453,0.0
105,36,0.9895544130170603,2026-01-14T19:56:08.243453,0.0
106,33,0.9894554575757586,2026-01-14T19:56:08.243453,0.0
107,73,0.9893565120300011,2026-01-14T19:56:08.244460,0.0
108,24,0.9892575763787981,2026-01-14T19:56:08.244460,0.0
109,11,0.9891586506211602,2026-01-14T19:56:08.244460,0.0
110,89,0.9890597347560981,2026-01-14T19:56:08.245462,0.0
111,100,0.9889608287826225,2026-01-14T19:56:08.246461,0.0
112,12,0.9888619326997442,2026-01-14T19:56:08.247461,0.0
113,57,0.9887630465064743,2026-01-14T19:56:08.247461,0.0
114,6,0.9886641702018236,2026-01-14T19:56:08.247461,0.0
115,8,0.9885653037848035,2026-01-14T19:56:08.247461,0.0
116,57,0.988466447254425,2026-01-14T19:56:08.249103,0.0
117,28,0.9883676006096995,2026-01-14T19:56:08.249103,0.0
118,34,0.9882687638496386,2026-01-14T19:56:08.249103,0.0
119,19,0.9881699369732536,2026-01-14T19:56:08.250120,0.0
120,23,0.9880711199795563,2026-01-14T19:56:08.250120,0.0
121,6,0.9879723128675584,2026-01-14T19:56:08.250120,0.0
122,46,0.9878735156362717,2026-01-14T19:56:08.250120,0.0
123,18,0.987774728284708,2026-01-14T19:56:08.250120,0.0
124,35,0.9876759508118795,2026-01-14T19:56:08.251118,0.0
125,100,0.9875771832167983,2026-01-14T19:56:08.252109,0.0
126,12,0.9874784254984766,2026-01-14T19:56:08.252109,0.0
127,76,0.9873796776559268,2026-01-14T19:56:08.253109,0.0
128,9,0.9872809396881612,2026-01-14T19:56:08.253109,0.0
129,12,0.9871822115941924,2026-01-14T19:56:08.253109,0.0
130,46,0.987083493373033,2026-01-14T19:56:08.254109,0.0
131,13,0.9869847850236957,2026-01-14T19:56:08.254109,0.0
132,100,0.9868860865451933,2026-01-14T19:56:08.255109,0.0
133,6,0.9867873979365388,2026-01-14T19:56:08.255109,0.0
134,85,0.9866887191967452,2026-01-14T19:56:08.256108,0.0
135,69,0.9865900503248255,2026-01-14T19:56:08.257118,0.0
136,26,0.986491391319793,2026-01-14T19:56:08.257118,0.0
137,89,0.9863927421806611,2026-01-14T19:56:08.258118,0.0
138,12,0.986294102906443,2026-01-14T19:56:08.258118,0.0
139,21,0.9861954734961524,2026-01-14T19:56:08.258118,0.0
140,17,0.9860968539488029,2026-01-14T19:56:08.258118,0.0
141,14,0.985998244263408,2026-01-14T19:56:08.258118,0.0
142,36,0.9858996444389817,2026-01-14T19:56:08.259118,0.0
143,20,0.9858010544745378,2026-01-14T19:56:08.259118,0.0
144,22,0.9857024743690904,2026-01-14T19:56:08.259118,0.0
145,60,0.9856039041216536,2026-01-14T19:56:08.260118,0.0
146,11,0.9855053437312414,2026-01-14T19:56:08.260118,0.0
147,18,0.9854067931968683,2026-01-14T19:56:08.260118,0.0
148,27,0.9853082525175486,2026-01-14T19:56:08.261117,0.0
149,51,0.9852097216922968,2026-01-14T19:56:08.261117,0.0
150,39,0.9851112007201276,2026-01-14T19:56:08.262109,0.0
151,35,0.9850126896000556,2026-01-14T19:56:08.262109,0.0
152,15,0.9849141883310956,2026-01-14T19:56:08.262109,0.0
153,65,0.9848156969122625,2026-01-14T19:56:08.263109,0.0
154,100,0.9847172153425713,2026-01-14T19:56:08.264493,0.0
155,81,0.9846187436210371,2026-01-14T19:56:08.265279,0.0
156,11,0.9845202817466749,2026-01-14T19:56:08.265279,0.0
157,13,0.9844218297185002,2026-01-14T19:56:08.266280,0.0
158,23,0.9843233875355284,2026-01-14T19:56:08.266280,0.0
159,81,0.9842249551967749,2026-01-14T19:56:08.267289,0.0
160,37,0.9841265327012553,2026-01-14T19:56:08.267289,0.0
161,22,0.9840281200479851,2026-01-14T19:56:08.267289,0.0
162,100,0.9839297172359803,2026-01-14T19:56:08.268287,0.0
163,33,0.9838313242642568,2026-01-14T19:56:08.269288,0.0
164,41,0.9837329411318304,2026-01-14T19:56:08.269288,0.0
165,27,0.9836345678377172,2026-01-14T19:56:08.269288,0.0
166,24,0.9835362043809335,2026-01-14T19:56:08.270288,0.0
167,33,0.9834378507604954,2026-01-14T19:56:08.270288,0.0
168,11,0.9833395069754194,2026-01-14T19:56:08.270288,0.0
169,65,0.9832411730247218,2026-01-14T19:56:08.271288,0.0
170,21,0.9831428489074193,2026-01-14T19:56:08.271288,0.0
171,100,0.9830445346225286,2026-01-14T19:56:08.273288,0.0
172,58,0.9829462301690663,2026-01-14T19:56:08.273288,0.0
173,20,0.9828479355460494,2026-01-14T19:56:08.273288,0.0
174,41,0.9827496507524949,2026-01-14T19:56:08.274806,0.0
175,47,0.9826513757874197,2026-01-14T19:56:08.274806,0.0
176,36,0.982553110649841,2026-01-14T19:56:08.274806,0.0
177,47,0.982454855338776,2026-01-14T19:56:08.275826,0.0
